"site_name","species","genus","phen_stage","colour"
"ALEXFIORD","arctica","Salix","flowering","#19262E"
"ALEXFIORD","digyna","Oxyria","green_up","#283D49"
"ALEXFIORD","digyna","Oxyria","flowering","#375565"
"ALEXFIORD","radicatum","Papaver","green_up","#466C82"
"ALEXFIORD","radicatum","Papaver","flowering","#56849D"
"ALEXFIORD","integrifolia","Dryas","green_up","#659BB9"
"ALEXFIORD","integrifolia","Dryas","flowering","#74B3D5"
"ALEXFIORD","spp.","Luzula","flowering","#84CBF2"
"BARROW","arctica","Luzula","green_up","#112B26"
"BARROW","arctica","Luzula","flowering","#1D4A41"
"BARROW","arctica","Poa","green_up","#296A5D"
"BARROW","rotundifolia","Salix","green_up","#368979"
"BARROW","rotundifolia","Salix","flowering","#42A995"
"BARROW","tetragona","Cassiope","green_up","#4EC8B1"
"BARROW","psilosantha","Dupontia","green_up","#5BE8CD"
"QHI","vaginatum","Eriophorum","flowering","#382F12"
"QHI","arctica","Salix","green_up","#7D6928"
"QHI","integrifolia","Dryas","flowering","#C2A33E"
"ZACKENBERG","oppositifolia","Saxifraga","flowering","#422413"
"ZACKENBERG","arctica","Salix","flowering","#67381D"
"ZACKENBERG","acaulis","Silene","flowering","#8D4C28"
"ZACKENBERG","octopetala","Dryas","flowering","#B36132"
"ZACKENBERG","tetragona","Cassiope","flowering","#D9753D"
"ZACKENBERG","radicatum","Papaver","flowering","#FF8A48"
