"","site_name","year","onset_ice_melt"
"1","ALEXFIORD",1995,236
"2","ALEXFIORD",1997,167
"3","ALEXFIORD",1998,137
"4","ALEXFIORD",2000,153
"5","ALEXFIORD",2001,146
"6","ALEXFIORD",2002,146
"7","ALEXFIORD",2003,146
"8","ALEXFIORD",2004,137
"9","ALEXFIORD",2007,181
"10","ALEXFIORD",2008,175
"11","ALEXFIORD",1992,157
"12","ALEXFIORD",1993,233
"13","ALEXFIORD",1996,195
"14","ALEXFIORD",2005,151
"15","ALEXFIORD",2010,194
"16","ALEXFIORD",2011,169
"17","ALEXFIORD",2012,136
"18","ALEXFIORD",2013,162
"19","BARROW",1994,226
"20","BARROW",1995,235
"21","BARROW",1996,201
"22","BARROW",1997,201
"23","BARROW",1998,195
"24","BARROW",1999,214
"25","BARROW",2000,225
"26","BARROW",2001,236
"27","BARROW",2007,184
"28","BARROW",2008,190
"29","BARROW",2010,203
"30","BARROW",2011,177
"31","BARROW",2012,208
"32","BARROW",2013,209
"33","BARROW",2014,209
"34","QHI",2016,119
"35","QHI",2015,156
"36","QHI",2014,173
"37","QHI",2013,193
"38","QHI",2012,151
"39","QHI",2011,175
"40","QHI",2010,158
"41","QHI",2009,194
"42","QHI",2008,159
"43","QHI",2007,181
"44","QHI",2006,207
"45","QHI",2005,154
"46","QHI",2004,168
"47","QHI",2003,223
"48","QHI",2002,227
"49","QHI",2001,232
"50","ZACKENBERG",1996,203
"51","ZACKENBERG",1997,215
"52","ZACKENBERG",1998,196
"53","ZACKENBERG",1999,125
"54","ZACKENBERG",2000,202
"55","ZACKENBERG",2001,179
"56","ZACKENBERG",2002,119
"57","ZACKENBERG",2003,179
"58","ZACKENBERG",2004,100
"59","ZACKENBERG",2005,167
"60","ZACKENBERG",2006,103
"61","ZACKENBERG",2007,189
"62","ZACKENBERG",2008,180
"63","ZACKENBERG",2009,174
"64","ZACKENBERG",2010,159
"65","ZACKENBERG",2011,215
