"","year","amj_mean","mj_mean","salarc_mean","erivag_mean","doy_first_50extend","doy_first_avg_50extend","doy_first_avg_75extend","doy_first_avg_80extend","doy_first_avg_85extend","doy_first_avg_90extend","doy_first_avg_95extend","doy_first_avg_975extend","doy_first_avg_99extend"
"1",2001,84186.304967033,84157.2152786885,84245.454,84245.454,240,241,217,204,204,202,201,198,178
"2",2002,83983.8335164835,83855.167704918,84002.7133392857,84245.454,235,230,228,202,201,199,194,160,159
"3",2003,83821.4742747253,83612.9596557377,84163.1040535714,84245.454,238,243,183,182,182,180,178,178,166
"4",2004,79500.9012307692,77167.5146229508,81371.5278928571,84245.454,186,185,169,169,165,164,158,154,61
"5",2005,75110.7869450549,70618.3277377049,76049.7852142857,83655.6934255319,179,179,160,158,154,152,150,149,148
"6",2006,84210.637,84194.0846557377,84216.498375,84210.203673913,217,215,208,207,207,206,200,197,128
"7",2007,82972.0737032967,82345.8210983607,83101.1562678571,84245.454,189,186,182,181,181,161,160,159,158
"8",2008,72046.5302087912,66047.0594918033,77216.4447321429,84234.9626170213,169,169,160,159,159,158,158,157,157
"9",2009,81540.7194285714,80210.5220983607,83288.2701964286,84245.454,211,211,174,173,173,168,166,165,164
"10",2010,75112.4637640449,70468.5704237288,76204.8797857143,84066.8056382979,174,171,159,158,157,157,155,149,148
"11",2011,79775.2332527472,77576.7640327869,81592.6125892857,82506.7288510638,179,179,176,175,174,145,144,143,143
"12",2012,67214.1890659341,58838.1571311475,69278.2115178571,82041.8828085106,161,161,156,153,149,147,143,142,141
"13",2013,84239.9154835165,84237.1916229508,84245.454,84245.454,214,204,200,197,193,190,183,183,182
"14",2014,80881.4131098901,79226.9667704918,84121.5652142857,84245.454,180,180,174,173,173,172,171,169,169
"15",2015,74517.8119230769,69733.7256557377,72320.8384285714,79516.6700212766,199,199,147,146,142,140,139,139,136
