"","amj_mean","mj_mean","salarc_mean","erivag_mean","doy_first_50extend","doy_first_avg_50extend","doy_first_avg_75extend","doy_first_avg_80extend","doy_first_avg_85extend","doy_first_avg_90extend","doy_first_avg_95extend","doy_first_avg_975extend","doy_first_avg_99extend"
"amj_mean",1,0.999988229333381,0.946986666685899,0.521683186521966,0.784214347817061,0.752517042150296,0.790944800129511,0.856497031406304,0.861504474919531,0.755043892003956,0.761920244736424,0.719509890572325,0.240633731980077
"mj_mean",0.999988229333381,1,0.947113610961638,0.520642742669091,0.784622957986984,0.753048204372674,0.791265643526181,0.856816865730656,0.861730327144388,0.755017322700412,0.761874178656001,0.719734277134078,0.240423380205011
"salarc_mean",0.946986666685899,0.947113610961638,1,0.695126119133678,0.649830723216181,0.625297246833099,0.749617089726126,0.827515687116129,0.84495304960737,0.736220402628599,0.749628905250884,0.720766317477846,0.245199512427008
"erivag_mean",0.521683186521966,0.520642742669091,0.695126119133678,1,0.258641893734593,0.235289900708329,0.510310666537096,0.56531109249674,0.587601275364982,0.606522060701279,0.611917730997255,0.576658960808829,0.17416241928076
"doy_first_50extend",0.784214347817061,0.784622957986984,0.649830723216181,0.258641893734593,1,0.992094600580235,0.782505459277599,0.762916230251771,0.759130400766624,0.788886444641539,0.798955182726224,0.707811016191715,0.324762860171442
"doy_first_avg_50extend",0.752517042150296,0.753048204372674,0.625297246833099,0.235289900708329,0.992094600580235,1,0.734910591454382,0.717265297593723,0.718507430659866,0.750402770047312,0.766963846563662,0.692307457768258,0.308366049565
"doy_first_avg_75extend",0.790944800129511,0.791265643526181,0.749617089726126,0.510310666537096,0.782505459277599,0.734910591454382,1,0.968952845435702,0.963118927381521,0.914525832343043,0.912223239859877,0.73785568831296,0.310380567830193
"doy_first_avg_80extend",0.856497031406304,0.856816865730656,0.827515687116129,0.56531109249674,0.762916230251771,0.717265297593723,0.968952845435702,1,0.996654403449864,0.926888591240712,0.922737730766765,0.833786066815417,0.286458620408891
"doy_first_avg_85extend",0.861504474919531,0.861730327144388,0.84495304960737,0.587601275364982,0.759130400766624,0.718507430659866,0.963118927381521,0.996654403449864,1,0.924231399653618,0.926258803560735,0.840280691992435,0.312129615422552
"doy_first_avg_90extend",0.755043892003956,0.755017322700412,0.736220402628599,0.606522060701279,0.788886444641539,0.750402770047312,0.914525832343043,0.926888591240712,0.924231399653618,1,0.995331650929282,0.899028383066326,0.278797890767579
"doy_first_avg_95extend",0.761920244736424,0.761874178656001,0.749628905250884,0.611917730997255,0.798955182726224,0.766963846563662,0.912223239859877,0.922737730766765,0.926258803560735,0.995331650929282,1,0.910275121289316,0.330080563580716
"doy_first_avg_975extend",0.719509890572325,0.719734277134078,0.720766317477846,0.576658960808829,0.707811016191715,0.692307457768258,0.73785568831296,0.833786066815417,0.840280691992435,0.899028383066326,0.910275121289316,1,0.35190033571686
"doy_first_avg_99extend",0.240633731980077,0.240423380205011,0.245199512427008,0.17416241928076,0.324762860171442,0.308366049565,0.310380567830193,0.286458620408891,0.312129615422552,0.278797890767579,0.330080563580716,0.35190033571686,1
"Mean",0.768572579865902,0.768636749263115,0.749096563928035,0.527989849919584,0.722644009027844,0.69592080294591,0.78204702706263,0.809369266362513,0.815084676917191,0.794684356978743,0.803705169147472,0.746916477472797,0.338715042104315
